datetime,close,high,low,open,volume
23-08-2017 00:00,230.9,231.5,225.85,230,7189281
24-08-2017 00:00,233,234.65,230.3,232,9492099
28-08-2017 00:00,233.55,235.5,231.8,234.2,5152003
29-08-2017 00:00,227.3,234.25,226.6,234,9095620
30-08-2017 00:00,236.35,237.7,230.15,230.85,12685001
31-08-2017 00:00,238,239.45,235.1,237.8,23200769
01-09-2017 00:00,243.75,245,238.05,239.25,9852014
04-09-2017 00:00,242.45,247,237.55,244.45,11283027
05-09-2017 00:00,241.9,244.35,240.2,243.2,3776840
06-09-2017 00:00,245.8,246.7,236,236,9688366
07-09-2017 00:00,249.95,251.25,245.65,247.5,11330389
08-09-2017 00:00,249.55,255.45,246.65,251.75,11886595
11-09-2017 00:00,250.05,252.5,246.6,251.45,6580356
12-09-2017 00:00,250.95,254.6,249.5,250.5,6812508
13-09-2017 00:00,248,251.7,246.35,250.25,4323093
14-09-2017 00:00,247.2,252,244.45,249.3,7307378
15-09-2017 00:00,247.8,249.7,241.4,245.05,8809971
18-09-2017 00:00,249.5,251.35,247.75,248.6,5570498
19-09-2017 00:00,246.5,250.4,245.6,250.4,4938461
20-09-2017 00:00,244.1,248.95,241.8,247.4,9917420
21-09-2017 00:00,244.55,245.8,236.3,245.5,9888709
22-09-2017 00:00,230.9,243.3,229.1,243.3,14454217
25-09-2017 00:00,229.1,232.5,223.3,231.4,9248669
26-09-2017 00:00,234.6,235.35,227.8,228.25,7602977
27-09-2017 00:00,233.65,235.2,230.7,234.75,6569514
28-09-2017 00:00,238.45,239.7,232.35,232.5,15196210
29-09-2017 00:00,240.6,242.65,238.6,241.3,9189997
03-10-2017 00:00,241.6,244.7,238.2,242.5,4986233
04-10-2017 00:00,241.9,243,240.3,242.05,3207388
05-10-2017 00:00,240.75,242.85,239.4,242,3698369
06-10-2017 00:00,250.9,252.15,241,241,9453802
09-10-2017 00:00,249.5,253.4,248.35,250.45,5744914
10-10-2017 00:00,252.05,253.5,248.1,250.5,8106676
11-10-2017 00:00,249.5,254.6,246.6,252.95,9799296
12-10-2017 00:00,264.45,265.4,249.7,250.25,30320448
13-10-2017 00:00,266.6,267.65,261.5,264.7,12276907
16-10-2017 00:00,271.4,272.9,267.5,268.45,14632858
17-10-2017 00:00,276.5,277.9,269.5,271.9,9929992
18-10-2017 00:00,275.3,278.45,273.2,277,9664157
19-10-2017 00:00,273.9,275.25,273.15,275,569539
23-10-2017 00:00,271.9,278.55,269.45,274.65,6263035
24-10-2017 00:00,268.85,275,267.5,269.6,9597374
25-10-2017 00:00,266.75,272.4,264.25,271.8,7240195
26-10-2017 00:00,272.9,275.3,268,269.25,8484342
27-10-2017 00:00,270.05,276.3,269.15,275.95,4587536
30-10-2017 00:00,273.2,275.8,270.45,270.55,4647384
31-10-2017 00:00,267.4,273.8,264.75,272.2,4764121
01-11-2017 00:00,275.3,276,267.6,269.5,9043536
02-11-2017 00:00,270.8,276,266.35,276,8317616
03-11-2017 05:30,268.9,277.6,265.6,276.4,14396735
06-11-2017 00:00,272.95,274.6,261,268.7,10582403
07-11-2017 00:00,266.9,274.9,264,273.85,8882930
08-11-2017 00:00,263.05,269.85,259.2,268.2,7922193
09-11-2017 00:00,263.3,267.95,259,267.1,7419140
10-11-2017 05:30,264.05,267.05,260.8,261.5,5272277
13-11-2017 00:00,260.9,265.25,258.8,264,5439255
14-11-2017 00:00,261,264.75,259.15,260.1,5575097
15-11-2017 00:00,251.85,259.7,248.4,259.5,9886735
